2018-02-20 01:56:08
1: 100.0%
2: 100.0%
3: 100.0%
4: 100.0%
5: 100.0%
6: 100.0%
7: 85.71%
8: 75.0%
9: 66.67%
10: 70.0%
11: 72.73%
12: 66.67%
13: 69.23%
14: 71.43%
15: 73.33%
16: 68.75%
17: 70.59%
18: 72.22%
19: 73.68%
20: 75.0%
21: 71.43%
22: 72.73%
23: 73.91%
24: 70.83%
25: 68.0%
26: 69.23%
27: 70.37%
28: 71.43%
29: 72.41%
30: 70.0%
31: 70.97%
32: 68.75%
33: 69.7%
34: 67.65%
35: 65.71%
36: 66.67%
37: 67.57%
38: 68.42%
39: 66.67%
40: 67.5%
41: 65.85%
42: 66.67%
43: 65.12%
44: 65.91%
45: 66.67%
46: 65.22%
47: 63.83%
48: 62.5%
49: 63.27%
50: 64.0%
51: 64.71%
52: 65.38%
53: 66.04%
54: 64.81%
55: 63.64%
56: 64.29%
57: 64.91%
58: 65.52%
59: 66.1%
60: 65.0%
61: 63.93%
62: 64.52%
63: 65.08%
64: 64.06%
65: 63.08%
66: 62.12%
67: 61.19%
68: 61.76%
69: 62.32%
70: 62.86%
71: 63.38%
72: 63.89%
73: 63.01%
74: 62.16%
75: 62.67%
done
